"Zone";"Date";"Region";"Prov";"nMortal";"nGraveInj";"nMinorInj";"nInv";"nPedest";"nBikes";"nMotor";"Vel";"Escaped";"Weather";"TrafficInf";"WeatherInf";"LightInf";"VisionInf";"Intersect";"Surface";"DayGroup";"HourGroup";"AccType"
"Road";2010-09-14;"Bages";"Barcelona";0;1;0;2;0;1;1;"100";"No";"Good";"No";"No";"Yes";"Yes";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2010-03-24;"Valles Oriental";"Barcelona";0;1;0;2;0;1;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2010-11-24;"Barcelones";"Barcelona";1;1;0;2;1;0;1;"30";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2010-05-17;"Anoia";"Barcelona";0;1;0;2;0;0;2;"40";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Rollover"
"Urban";2010-02-09;"Barcelones";"Barcelona";1;0;0;2;1;0;1;"100";"No";"Good";"Yes";"No";"No";"No";"Inside";"Wet";"Weekday";"Afternoon";"RunOver"
"Road";2010-03-31;"Alt Urgell";"Lleida";0;1;3;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"VehicleHitObstacle"
"Urban";2010-06-28;"Baix Ebre";"Tarragona";0;1;0;2;0;1;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2010-07-04;"Alt Camp";"Tarragona";0;1;0;2;0;1;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2010-11-25;"Baix Camp";"Tarragona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2010-04-29;"Valles Oriental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"Yes";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Road";2010-06-26;"Tarragones";"Tarragona";0;1;3;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"Arriving";"Flooded";"Weekend";"Afternoon";"NARoadExit"
"Road";2010-12-31;"Valles Occidental";"Barcelona";0;1;1;3;0;0;3;"80";"No";"Good";"No";"Yes";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"NARoadExit"
"Road";2010-06-22;"Alt Emporda";"Girona";0;2;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2010-05-25;"Baix Ebre";"Tarragona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2010-08-25;"Barcelones";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Rollover"
"Road";2010-07-02;"Valles Oriental";"Barcelona";0;1;0;1;1;0;0;"100";"Yes";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
