"Zone","Date","Region","Prov","nMortal","nGraveInj","nMinorInj","nInvolv","nPedest","nBikes","nMotor","Vel","Escaped","Weather","TrafficInf","WeatherInf","LightInf","VisionInf","Intersect","Surface","DayGroup","HourGroup","AccType"
"Road",2019-08-31,"VOriental","Barcelona",1,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Urban",2019-04-04,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2019-02-01,"BCamp","Tarragona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","NARoadExit"
"Urban",2019-09-19,"APenedes","Barcelona",0,1,0,1,0,0,1,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","Rollover"
"Urban",2019-08-08,"APenedes","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Morning","Other"
"Road",2019-01-15,"Bergueda","Barcelona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","NARoadExit"
"Road",2019-10-27,"VOriental","Barcelona",1,0,3,1,0,0,1,"40","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Night","NARoadExit"
"Urban",2019-04-28,"BCamp","Tarragona",0,1,0,1,0,1,0,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","Other"
"Road",2019-10-01,"AEmporda","Girona",2,0,2,4,0,0,4,"90","No","WeakRain","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2019-12-09,"Maresme","Barcelona",0,1,0,2,0,0,2,"999","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2019-10-10,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Morning","RunOver"
"Road",2019-07-10,"Garrotxa","Girona",0,1,1,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","NARoadExit"
"Urban",2019-09-04,"Bages","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2019-07-03,"Barcelones","Barcelona",1,0,1,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2019-05-26,"Garraf","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","Other"
"Urban",2019-07-18,"Barcelones","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Morning","RunOver"
"Road",2019-11-27,"Osona","Barcelona",0,1,0,2,0,0,2,"100","Yes","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2019-06-01,"Solsones","Lleida",1,0,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Road",2019-02-06,"Barcelones","Barcelona",0,1,1,5,0,0,5,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Other"
"Urban",2019-10-08,"VOriental","Barcelona",0,1,0,2,0,1,1,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2019-06-18,"Maresme","Barcelona",0,1,0,1,0,0,1,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitObstacle"
"Road",2019-10-21,"Maresme","Barcelona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","Other"
"Road",2019-01-13,"Segria","Lleida",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","NARoadExit"
"Road",2019-04-18,"Bages","Barcelona",0,1,0,2,0,0,2,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2019-09-15,"Cerdanya","Girona",0,2,0,2,0,0,2,"60","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2019-03-02,"Ripolles","Girona",0,2,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2019-08-09,"Barcelones","Barcelona",1,0,0,2,0,0,2,"60","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2019-03-05,"AEmporda","Girona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2019-11-01,"BLlobregat","Barcelona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2019-05-15,"Garrigues","Lleida",0,1,1,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","NARoadExit"
"Urban",2019-07-13,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2019-10-18,"Bages","Barcelona",0,1,0,1,0,0,0,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","NARoadExit"
"Urban",2019-05-09,"BLlobregat","Barcelona",0,1,0,2,1,0,1,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2019-03-15,"Barcelones","Barcelona",1,0,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2019-07-13,"Moianes","Barcelona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","Other"
"Road",2019-07-28,"Maresme","Barcelona",1,0,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","NARoadExit"
"Road",2019-11-22,"BLlobregat","Barcelona",0,1,0,2,0,0,2,"80","No","WeakRain","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2019-04-20,"APenedes","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Urban",2019-02-15,"VOccidental","Barcelona",0,1,0,2,0,0,2,"30","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2019-02-27,"Selva","Girona",0,1,0,1,0,1,0,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","NARoadExit"
"Urban",2019-03-08,"Garrotxa","Girona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","RunOver"
"Road",2019-11-16,"VOccidental","Barcelona",1,0,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2019-12-05,"BCamp","Tarragona",0,1,0,2,0,0,2,"100","No","WeakRain","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2019-10-18,"VOriental","Barcelona",0,1,0,1,0,0,1,"20","Yes","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitObstacle"
"Road",2019-07-27,"BEmporda","Girona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","NARoadExit"
"Urban",2019-04-05,"VOccidental","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","Other"
"Urban",2019-11-07,"Barcelones","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Night","RunOver"
"Road",2019-06-21,"Segria","Lleida",0,1,1,2,0,0,2,"70","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2019-12-10,"Selva","Girona",0,3,0,4,3,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Road",2019-12-16,"AEmporda","Girona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","NARoadExit"
"Urban",2019-11-20,"BLlobregat","Barcelona",0,1,0,2,0,0,2,"30","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2019-05-05,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Night","HitVehicle/s"
"Urban",2019-04-23,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2019-07-26,"Garrotxa","Girona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2019-06-24,"Maresme","Barcelona",0,1,4,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","HitVehicle/s"
"Road",2019-07-20,"Noguera","Lleida",1,0,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Road",2019-04-29,"Selva","Girona",2,0,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2019-09-02,"Barcelones","Barcelona",0,1,0,3,0,0,3,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2019-02-28,"Tarragones","Tarragona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","Rollover"
"Road",2019-11-04,"BEbre","Tarragona",0,1,3,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2019-09-11,"VOriental","Barcelona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Other"
"Road",2019-09-12,"AEmporda","Girona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","NARoadExit"
"Road",2019-01-21,"Anoia","Barcelona",0,1,0,1,0,1,0,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","Other"
"Road",2019-07-20,"AEmporda","Girona",0,1,0,2,0,0,2,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2019-03-06,"PSobira","Lleida",0,2,0,3,0,0,3,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2019-03-25,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","Yes","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Road",2019-10-19,"BEmporda","Girona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Urban",2019-06-28,"Barcelones","Barcelona",0,1,1,2,1,0,1,NA,"No","Good","No","No","No","Yes","Inside","Dry&Clean","Weekend","Night","RunOver"
"Road",2019-07-21,"AEmporda","Girona",0,2,5,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2019-11-26,"Bages","Barcelona",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2019-02-24,"Selva","Girona",1,1,1,2,0,0,2,"80","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Urban",2019-01-17,"BLlobregat","Barcelona",0,1,0,2,1,0,1,"100","No","StrongRain","No","No","Yes","Yes","InSection","Wet","Weekday","Afternoon","RunOver"
"Road",2019-04-13,"Segria","Lleida",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","Other"
"Urban",2019-06-06,"BLlobregat","Barcelona",0,1,0,1,0,0,1,"40","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitObstacle"
"Urban",2019-07-11,"Bages","Barcelona",0,1,0,2,1,0,1,"30","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2019-07-19,"Bergueda","Barcelona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","NARoadExit"
"Road",2019-06-05,"Barcelones","Barcelona",0,1,0,2,0,0,2,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2019-01-28,"PSobira","Lleida",0,3,1,2,0,0,2,"100","No","Snow","No","Yes","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2019-06-17,"VOccidental","Barcelona",0,1,1,3,0,0,3,"120","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2019-08-02,"VOriental","Barcelona",0,1,0,1,0,0,1,"20","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Rollover"
"Urban",2019-10-04,"Girones","Girona",1,0,0,1,0,0,1,"60","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","Rollover"
"Urban",2019-03-26,"VOccidental","Barcelona",0,1,0,1,0,0,0,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","Rollover"
"Road",2019-06-15,"Garrotxa","Girona",0,1,0,2,0,1,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2019-04-16,"BLlobregat","Barcelona",1,0,0,2,1,0,1,"90","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2019-05-31,"BLlobregat","Barcelona",0,1,0,2,0,1,1,"60","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2019-08-23,"Garraf","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Afternoon","Rollover"
"Road",2019-08-30,"BLlobregat","Barcelona",0,1,0,1,0,0,1,"80","Yes","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2019-03-15,"BCamp","Tarragona",1,0,0,3,1,0,2,"120","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","RunOver"
"Road",2019-02-20,"Barcelones","Barcelona",0,1,0,3,0,0,3,"80","Yes","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2019-02-07,"BEbre","Tarragona",1,0,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","NARoadExit"
"Road",2019-08-30,"Garraf","Barcelona",0,1,0,2,0,0,2,"50","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2019-03-12,"VOccidental","Barcelona",0,1,0,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2019-11-25,"Selva","Girona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2019-03-26,"Maresme","Barcelona",0,1,0,2,1,0,1,NA,"NA","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Road",2019-12-14,"VOccidental","Barcelona",0,1,0,2,0,0,2,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2019-10-06,"Noguera","Lleida",1,0,1,2,0,0,2,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","HitVehicle/s"
"Urban",2019-01-29,"Barcelones","Barcelona",0,1,0,2,1,0,1,"20","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2019-10-20,"Barcelones","Barcelona",1,0,0,2,0,0,2,"80","No","WeakRain","No","No","No","No","InSection","Wet","Weekend","Morning","NARoadExit"
"Road",2019-04-18,"Segria","Lleida",0,1,0,1,0,0,1,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","NARoadExit"
"Urban",2019-05-28,"Moianes","Barcelona",0,1,0,2,0,1,1,"30","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2019-10-26,"Garraf","Barcelona",0,1,1,4,0,0,4,"70","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2019-09-02,"Bergueda","Barcelona",0,1,0,1,0,0,1,NA,"No","Good","No","No","No","NA","InSection","Dry&Clean","Weekday","Afternoon","HitObstacle"
"Urban",2019-08-08,"Montsia","Tarragona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2019-04-03,"BPenedes","Tarragona",0,1,1,2,0,0,2,"40","No","WeakRain","No","No","No","NA","Inside","Wet","Weekday","Afternoon","HitVehicle/s"
"Urban",2019-11-13,"Barcelones","Barcelona",0,1,1,1,0,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","NARoadExit"
"Road",2019-06-29,"BEmporda","Girona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","Other"
"Road",2019-05-05,"BEmporda","Girona",0,1,0,1,0,1,0,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","Other"
"Urban",2019-03-07,"Barcelones","Barcelona",0,1,1,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2019-03-09,"Acamp","Tarragona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2019-03-02,"BLlobregat","Barcelona",1,0,0,3,0,0,3,"80","No","Good","No","No","No","No","InSection","Slippery","Weekend","Morning","Rollover"
"Road",2019-11-18,"Barcelones","Barcelona",1,0,0,3,0,0,3,"80","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Morning","HitVehicle/s"
